,Compound,Date,Media Source,Negative,Neutral,Positive,Tweets Ago
404,0.3818,Mon Jan 08 06:52:00 +0000 2018,New York TImes,0.874,0.0,0.126,5
405,0.0,Mon Jan 08 06:37:04 +0000 2018,New York TImes,1.0,0.0,0.0,6
406,-0.0516,Mon Jan 08 06:22:04 +0000 2018,New York TImes,0.84,0.084,0.076,7
407,0.6597,Mon Jan 08 06:07:27 +0000 2018,New York TImes,0.748,0.0,0.252,8
408,0.0,Mon Jan 08 05:50:44 +0000 2018,New York TImes,1.0,0.0,0.0,9
409,0.0,Mon Jan 08 05:35:18 +0000 2018,New York TImes,1.0,0.0,0.0,10
410,-0.2263,Mon Jan 08 05:23:55 +0000 2018,New York TImes,0.894,0.106,0.0,11
411,0.0,Mon Jan 08 05:09:35 +0000 2018,New York TImes,1.0,0.0,0.0,12
412,-0.5837,Mon Jan 08 04:52:06 +0000 2018,New York TImes,0.649,0.351,0.0,13
413,0.0,Mon Jan 08 04:28:03 +0000 2018,New York TImes,1.0,0.0,0.0,14
414,0.0,Mon Jan 08 04:18:00 +0000 2018,New York TImes,1.0,0.0,0.0,15
415,0.4767,Mon Jan 08 04:16:50 +0000 2018,New York TImes,0.763,0.0,0.237,16
416,0.8176,Mon Jan 08 04:11:40 +0000 2018,New York TImes,0.679,0.0,0.321,17
417,0.765,Mon Jan 08 04:07:49 +0000 2018,New York TImes,0.694,0.0,0.306,18
418,0.836,Mon Jan 08 04:06:29 +0000 2018,New York TImes,0.669,0.0,0.331,19
419,0.1531,Mon Jan 08 04:02:02 +0000 2018,New York TImes,0.885,0.0,0.115,20
420,0.4019,Mon Jan 08 07:52:01 +0000 2018,New York TImes,0.891,0.0,0.109,21
421,0.5106,Mon Jan 08 07:37:06 +0000 2018,New York TImes,0.711,0.061,0.228,22
422,0.5719,Mon Jan 08 07:22:06 +0000 2018,New York TImes,0.709,0.0,0.291,23
